"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",2022,12,13.1731207481207
"Cop","ssp126",2023,1,8.54221389784891
"Cop","ssp126",2023,2,6.19524022930725
"Cop","ssp126",2023,3,21.679947046002
"Cop","ssp126",2023,4,38.3830522695207
"Cop","ssp126",2023,5,57.3501229401582
"Cop","ssp126",2023,6,68.2125063226467
"Cop","ssp126",2023,7,56.8275238384384
"Cop","ssp126",2023,8,37.7547102317474
"Cop","ssp126",2023,9,34.0644872164251
"Cop","ssp126",2023,10,34.4716857760866
"Cop","ssp126",2023,11,26.7575777978578
"Cop","ssp126",2023,12,15.0993316283367
"Cop","ssp126",2024,1,7.94311284467593
"Cop","ssp126",2024,2,4.81314979334361
"Cop","ssp126",2024,3,20.1424980314165
"Cop","ssp126",2024,4,38.5323243565822
"Cop","ssp126",2024,5,62.6184991484945
"Cop","ssp126",2024,6,68.4277301129376
"Cop","ssp126",2024,7,55.9207889552481
"Cop","ssp126",2024,8,36.3612281374754
"Cop","ssp126",2024,9,31.7446221947142
"Cop","ssp126",2024,10,34.4700913499125
"Cop","ssp126",2024,11,28.8747586658314
"Cop","ssp126",2024,12,14.6399189908159
"Cop","ssp126",2025,1,7.3066996951887
"Cop","ssp126",2025,2,5.18432234163537
"Cop","ssp126",2025,3,19.9119701580092
"Cop","ssp126",2025,4,44.9323602648188
"Cop","ssp126",2025,5,59.6381287998555
"Cop","ssp126",2025,6,58.5125032213337
"Cop","ssp126",2025,7,48.7499867090146
"Cop","ssp126",2025,8,33.11888588109
"Cop","ssp126",2025,9,28.5351422060018
"Cop","ssp126",2025,10,28.6101057910831
"Cop","ssp126",2025,11,17.6164396166083
"Cop","ssp126",2025,12,8.9571674502112
"Cop","ssp126",2026,1,4.23395696178695
"Cop","ssp126",2026,2,2.19559695550859
"Cop","ssp126",2026,3,8.02800797532071
"Cop","ssp126",2026,4,23.1075335061376
"Cop","ssp126",2026,5,43.1025799156775
"Cop","ssp126",2026,6,49.0137380715285
"Cop","ssp126",2026,7,44.0937174098685
"Cop","ssp126",2026,8,33.9370058886729
"Cop","ssp126",2026,9,31.2984866681165
"Cop","ssp126",2026,10,28.4093870612006
"Cop","ssp126",2026,11,23.0816443768994
"Cop","ssp126",2026,12,12.9136520413145
"Cop","ssp126",2027,1,7.46682155926147
"Cop","ssp126",2027,2,6.4473333392432
"Cop","ssp126",2027,3,13.4083572958634
"Cop","ssp126",2027,4,24.5941984195161
"Cop","ssp126",2027,5,36.0016632621092
"Cop","ssp126",2027,6,42.2789595126407
"Cop","ssp126",2027,7,38.0710215597293
"Cop","ssp126",2027,8,31.1548306601567
"Cop","ssp126",2027,9,29.4817779973405
"Cop","ssp126",2027,10,31.6358369124746
"Cop","ssp126",2027,11,24.4653468991169
"Cop","ssp126",2027,12,12.5505235405222
"Cop","ssp126",2028,1,7.41850574985359
"Cop","ssp126",2028,2,4.86556658928072
"Cop","ssp126",2028,3,35.9457859910845
"Cop","ssp126",2028,4,47.6944667188463
"Cop","ssp126",2028,5,49.4011021076042
"Cop","ssp126",2028,6,56.4002432700501
"Cop","ssp126",2028,7,50.8364838835704
"Cop","ssp126",2028,8,32.4669701894066
"Cop","ssp126",2028,9,31.2147562311988
"Cop","ssp126",2028,10,33.2621371829467
"Cop","ssp126",2028,11,22.5895982693767
"Cop","ssp126",2028,12,10.4991946416257
"Cop","ssp126",2029,1,5.01155144486644
"Cop","ssp126",2029,2,3.2322182388844
"Cop","ssp126",2029,3,14.0821595659719
"Cop","ssp126",2029,4,21.4335150129844
"Cop","ssp126",2029,5,31.3301992306552
"Cop","ssp126",2029,6,35.7058064761335
"Cop","ssp126",2029,7,35.8336187754546
"Cop","ssp126",2029,8,33.0311365619153
"Cop","ssp126",2029,9,27.009616283931
"Cop","ssp126",2029,10,33.5310419384688
"Cop","ssp126",2029,11,25.7242360164079
"Cop","ssp126",2029,12,12.6882452699196
"Cop","ssp126",2030,1,5.99188652035285
"Cop","ssp126",2030,2,2.3937631631313
"Cop","ssp126",2030,3,1.98237981936943
