"simulation","depthclass","year","annual_avg_temp"
"ssp585","Surface",1984,9.25273108214146
"ssp585","Surface",1985,8.46788363156426
"ssp585","Surface",1986,9.56044523372147
"ssp585","Surface",1987,8.8079361810144
"ssp585","Surface",1988,9.28260968606626
"ssp585","Surface",1989,8.4460658125505
"ssp585","Surface",1990,9.15072984925204
"ssp585","Surface",1991,8.56283824267375
"ssp585","Surface",1992,9.10353075202176
"ssp585","Surface",1993,9.11813292214344
"ssp585","Surface",1994,9.18248534768064
"ssp585","Surface",1995,9.24146778203217
"ssp585","Surface",1996,9.30600802526222
"ssp585","Surface",1997,10.0009429827476
"ssp585","Surface",1998,9.94037164164032
"ssp585","Surface",1999,9.20329575237461
"ssp585","Surface",2000,9.25512930046739
"ssp585","Surface",2001,9.25055475872321
"ssp585","Surface",2002,9.38487259659133
"ssp585","Surface",2003,10.1913249032822
"ssp585","Surface",2004,10.0668775452183
"ssp585","Surface",2005,10.3142985351705
"ssp585","Surface",2006,9.4033844550146
"ssp585","Surface",2007,9.12831336892569
"ssp585","Surface",2008,8.80681589595176
"ssp585","Surface",2009,9.22666458985697
"ssp585","Surface",2010,9.72528938172089
"ssp585","Surface",2011,9.12449867605087
"ssp585","Surface",2012,8.94350794651889
"ssp585","Surface",2013,9.71001147520123
"ssp585","Surface",2014,10.1969939193451
"ssp585","Surface",2015,10.6030767446715
"ssp585","Surface",2016,10.7897175450261
"ssp585","Surface",2017,10.1529583034614
"ssp585","Surface",2018,10.0816012880299
"ssp585","Surface",2019,10.5531712823664
"ssp585","Surface",2020,9.79676295888125
"ssp585","Surface",2021,9.85623404434206
"ssp585","Surface",2022,10.1135329710368
"ssp585","Surface",2023,9.51823815219979
