"varname","simulation","year","month","prod_biom_month"
"prod_PhL","ssp126",2018,2,3.39077922289168
"prod_PhL","ssp126",2018,3,11.8708215378801
"prod_PhL","ssp126",2018,4,19.1068470215493
"prod_PhL","ssp126",2018,5,26.1097796952166
"prod_PhL","ssp126",2018,6,25.8794421354034
"prod_PhL","ssp126",2018,7,24.7117960478752
"prod_PhL","ssp126",2018,8,35.6896070779902
"prod_PhL","ssp126",2018,9,25.6022650019918
"prod_PhL","ssp126",2018,10,16.1757482796934
"prod_PhL","ssp126",2018,11,3.69922012279204
"prod_PhL","ssp126",2018,12,1.12405385698507
"prod_PhL","ssp126",2019,1,1.07693483482672
"prod_PhL","ssp126",2019,2,3.92270498340191
"prod_PhL","ssp126",2019,3,13.4364648877228
"prod_PhL","ssp126",2019,4,30.6322821002016
"prod_PhL","ssp126",2019,5,25.3915113693834
"prod_PhL","ssp126",2019,6,29.1628101282151
"prod_PhL","ssp126",2019,7,27.702507291258
"prod_PhL","ssp126",2019,8,31.9961541628086
"prod_PhL","ssp126",2019,9,32.3170386378603
"prod_PhL","ssp126",2019,10,15.9259448302015
"prod_PhL","ssp126",2019,11,2.73101391518764
"prod_PhL","ssp126",2019,12,1.08094639158504
"prod_PhL","ssp126",2020,1,1.39450156550358
"prod_PhL","ssp126",2020,2,3.49284538535172
"prod_PhL","ssp126",2020,3,14.1762150095583
"prod_PhL","ssp126",2020,4,18.7574477065628
"prod_PhL","ssp126",2020,5,26.5920803899158
"prod_PhL","ssp126",2020,6,27.2519153459198
"prod_PhL","ssp126",2020,7,27.9588836231574
"prod_PhL","ssp126",2020,8,30.0029316333052
"prod_PhL","ssp126",2020,9,35.6886135651453
"prod_PhL","ssp126",2020,10,14.1288028703361
"prod_PhL","ssp126",2020,11,3.92754941423558
"prod_PhL","ssp126",2020,12,1.00578821996592
"prod_PhL","ssp126",2021,1,1.00055834163981
"prod_PhL","ssp126",2021,2,3.09230370827729
"prod_PhL","ssp126",2021,3,9.96991169309702
"prod_PhL","ssp126",2021,4,25.8817049718673
"prod_PhL","ssp126",2021,5,17.8886704603208
"prod_PhL","ssp126",2021,6,20.9482557589614
"prod_PhL","ssp126",2021,7,23.6552640033078
"prod_PhL","ssp126",2021,8,29.7277076100534
"prod_PhL","ssp126",2021,9,24.0756793281539
"prod_PhL","ssp126",2021,10,13.5216084403556
"prod_PhL","ssp126",2021,11,2.38483782725485
"prod_PhL","ssp126",2021,12,0.775330832148753
"prod_PhL","ssp126",2022,1,1.26308837803705
"prod_PhL","ssp126",2022,2,2.74624420036458
"prod_PhL","ssp126",2022,3,6.56126117520906
"prod_PhL","ssp126",2022,4,15.1994697077857
"prod_PhL","ssp126",2022,5,29.8802010780615
"prod_PhL","ssp126",2022,6,26.9576189680028
"prod_PhL","ssp126",2022,7,25.6236211883631
"prod_PhL","ssp126",2022,8,21.3368523934984
"prod_PhL","ssp126",2022,9,21.9624054824868
"prod_PhL","ssp126",2022,10,13.4803582059904
"prod_PhL","ssp126",2022,11,3.62512595555073
"prod_PhL","ssp126",2022,12,0.802378663738644
"prod_PhL","ssp126",2023,1,0.987274161408575
"prod_PhL","ssp126",2023,2,2.78534990274793
"prod_PhL","ssp126",2023,3,7.57089945065649
"prod_PhL","ssp126",2023,4,30.5632242849554
"prod_PhL","ssp126",2023,5,39.2932966492959
"prod_PhL","ssp126",2023,6,27.6867810897768
"prod_PhL","ssp126",2023,7,28.6341962146809
"prod_PhL","ssp126",2023,8,25.7404562776419
"prod_PhL","ssp126",2023,9,33.0814765769546
"prod_PhL","ssp126",2023,10,14.6703591296424
"prod_PhL","ssp126",2023,11,3.17967839444619
"prod_PhL","ssp126",2023,12,0.837420575071501
"prod_PhL","ssp126",2024,1,1.00406604983653
