"","year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","matched_name","node"
"7253",2018,"USRK","Shark","shark, spiny dogfish","D","NPT",0,161.5595899488,"Salmon shark","28"
"7254",2018,"USRK","Shark","shark, spiny dogfish","D","POT",0,0.312118795,"Salmon shark","28"
"7255",2018,"USRK","Shark","shark, spiny dogfish","D","PTR",0,6.3267569671,"Salmon shark","28"
"7257",2018,"USRK","Shark","shark, spiny dogfish","R","NPT",0,12.31412566,"Salmon shark","28"
"7258",2018,"USRK","Shark","shark, spiny dogfish","R","PTR",0,5.5515170153,"Salmon shark","28"
"7259",2019,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,0.1401398061,"Atka mackerel","57"
"7260",2019,"AMCK","Atka Mackerel","greenling, atka mackerel","D","NPT",0,126.4031882791,"Atka mackerel","57"
"7261",2019,"AMCK","Atka Mackerel","greenling, atka mackerel","D","POT",0,0.1808202133,"Atka mackerel","57"
"7262",2019,"AMCK","Atka Mackerel","greenling, atka mackerel","D","PTR",0,3.5159925425,"Atka mackerel","57"
"7263",2019,"AMCK","Atka Mackerel","greenling, atka mackerel","R","NPT",0,1113.5654638111,"Atka mackerel","57"
"7264",2019,"AMCK","Atka Mackerel","greenling, atka mackerel","R","PTR",0,10.5682486282,"Atka mackerel","57"
"7265",2019,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,187.9036654787,"Arrowtooth flounder","35"
"7266",2019,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","NPT",0,1094.2843971948,"Arrowtooth flounder","35"
"7267",2019,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",0,26.0747977745,"Arrowtooth flounder","35"
"7268",2019,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","PTR",0,8.3571606603,"Arrowtooth flounder","35"
"7269",2019,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,10.3117928397,"Arrowtooth flounder","35"
"7270",2019,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","NPT",0,22947.9527283723,"Arrowtooth flounder","35"
