"year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt"
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,8.88
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","POT",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,22.03
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,30.02
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","JIG",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,25.06
"1993","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","D","HAL",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","D","TRW",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","R","HAL",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","R","JIG",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","R","TRW",1,NA
"1993","DFL1","Deep Water Flatfish","flatfish, deep water","D","HAL",0,39.18
"1993","DFL1","Deep Water Flatfish","flatfish, deep water","D","POT",1,NA
"1993","DFL1","Deep Water Flatfish","flatfish, deep water","D","TRW",0,281.41
"1993","DFL1","Deep Water Flatfish","flatfish, deep water","R","HAL",0,0.45
"1993","DFL1","Deep Water Flatfish","flatfish, deep water","R","TRW",0,1569.9
"1993","DFL1","Deep Water Flatfish","sole, dover","D","HAL",0,0.25
"1993","DFL1","Deep Water Flatfish","sole, dover","D","TRW",0,448.37
"1993","DFL1","Deep Water Flatfish","sole, dover","R","TRW",0,1403.04
"1993","DFL1","Deep Water Flatfish","sole, rex","D","TRW",0,273.34
"1993","DFL1","Deep Water Flatfish","sole, rex","R","TRW",0,2557.68
"1993","DFL1","Deep Water Flatfish","turbot, Greenland","D","HAL",1,NA
"1993","DFL1","Deep Water Flatfish","turbot, Greenland","D","JIG",1,NA
"1993","DFL1","Deep Water Flatfish","turbot, Greenland","D","TRW",1,NA
"1993","DFL1","Deep Water Flatfish","turbot, Greenland","R","HAL",0,15.55
"1993","FLOU","Flounder","flounder, general","D","HAL",1,NA
"1993","FLOU","Flounder","flounder, general","D","TRW",1,NA
"1993","FSOL","Flathead Sole","sole, flathead","D","HAL",0,0.72
"1993","FSOL","Flathead Sole","sole, flathead","D","POT",1,NA
"1993","FSOL","Flathead Sole","sole, flathead","D","TRW",0,920.06
"1993","FSOL","Flathead Sole","sole, flathead","R","HAL",1,NA
"1993","FSOL","Flathead Sole","sole, flathead","R","TRW",0,1902.51
"1993","GTRB","Greenland Turbot","turbot, Greenland","D","HAL",1,NA
"1993","NORK","Northern Rockfish","rockfish, northern","D","TRW",0,1146.99
"1993","NORK","Northern Rockfish","rockfish, northern","R","HAL",1,NA
"1993","NORK","Northern Rockfish","rockfish, northern","R","TRW",0,3532.18
"1993","OTHR","Other","greenling, atka mackerel","D","HAL",1,NA
"1993","OTHR","Other","greenling, atka mackerel","D","TRW",0,259.26
"1993","OTHR","Other","greenling, atka mackerel","R","TRW",0,2729.87
"1993","OTHR","Other","groundfish, general","D","HAL",0,1135.34
"1993","OTHR","Other","groundfish, general","D","POT",1,NA
"1993","OTHR","Other","groundfish, general","D","TRW",0,3070.27
"1993","OTHR","Other","groundfish, general","R","HAL",0,13.95
"1993","OTHR","Other","groundfish, general","R","POT",1,NA
"1993","OTHR","Other","groundfish, general","R","TRW",0,1749.13
"1993","OTHR","Other","squid, majestic","D","TRW",0,20.13
"1993","OTHR","Other","squid, majestic","R","TRW",1,NA
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,528.96
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","D","POT",1,NA
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,5027.96
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,7594.92
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","R","JIG",1,NA
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","R","OTH",1,NA
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",1,NA
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,32697.33
"1993","PELS","Pelagic Shelf Rockfish","rockfish, black","D","HAL",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, black","D","JIG",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, black","D","TRW",1,NA
